13/06/2025 18:27:02 | Inactividad: 85.12 minutos | Tráfico: 28520.19 KB | Apagado: -
13/06/2025 18:32:02 | Inactividad: 90.12 minutos | Tráfico: 28509.03 KB | Apagado: -
13/06/2025 18:37:02 | Inactividad: 95.12 minutos | Tráfico: 28527.33 KB | Apagado: -
13/06/2025 18:42:02 | Inactividad: 100.12 minutos | Tráfico: 28475.1 KB | Apagado: -
13/06/2025 18:47:02 | Inactividad: 105.12 minutos | Tráfico: 28507.67 KB | Apagado: -
13/06/2025 18:52:02 | Inactividad: 110.12 minutos | Tráfico: 28523.91 KB | Apagado: -
13/06/2025 18:57:02 | Inactividad: 115.12 minutos | Tráfico: 28475.14 KB | Apagado: -
13/06/2025 19:02:02 | Inactividad: 120.12 minutos | Tráfico: 27411.45 KB | Apagado: -
13/06/2025 19:07:02 | Inactividad: 125.12 minutos | Tráfico: 27483.35 KB | Apagado: -
13/06/2025 19:12:02 | Inactividad: 130.12 minutos | Tráfico: 27444.38 KB | Apagado: -
13/06/2025 19:17:02 | Inactividad: 135.12 minutos | Tráfico: 3999.2 KB | Apagado: 13/06/2025 19:17:02
14/06/2025 03:20:21 | Inactividad: 0.6 minutos | Tráfico: 10000 KB | Apagado: -
14/06/2025 03:24:48 | Inactividad: 5.12 minutos | Tráfico: 10000 KB | Apagado: -
14/06/2025 03:29:48 | Inactividad: 10.12 minutos | Tráfico: 619329.13 KB | Apagado: -
14/06/2025 03:34:51 | Inactividad: 15.13 minutos | Tráfico: 3429300.34 KB | Apagado: -
14/06/2025 03:36:28 | Inactividad: 0.45 minutos | Tráfico: 1272.92 KB | Apagado: -
14/06/2025 03:41:00 | Inactividad: 5.12 minutos | Tráfico: 2100.7 KB | Apagado: -
14/06/2025 03:46:03 | Inactividad: 10.17 minutos | Tráfico: 226385.89 KB | Apagado: -
14/06/2025 03:51:00 | Inactividad: 15.12 minutos | Tráfico: 656035.78 KB | Apagado: -
14/06/2025 03:56:00 | Inactividad: 20.12 minutos | Tráfico: 5283343.7 KB | Apagado: -
14/06/2025 04:01:00 | Inactividad: 25.12 minutos | Tráfico: 12205155.09 KB | Apagado: -
14/06/2025 04:06:00 | Inactividad: 30.12 minutos | Tráfico: 16543998.38 KB | Apagado: -
14/06/2025 04:11:00 | Inactividad: 35.12 minutos | Tráfico: 22919230.25 KB | Apagado: -
